"Timestamp","Gender identity?","What is your sexual identity?","What is your age?","What is the age range you are willing to date a member of your preferred sex (MPS)? (Check all that apply)","What is the age range you would PREFER/WANT to date?","For each of the age ranges you checked off that you would PREFER to date, please provide a short reason why you would date that age range"
"2019/07/15 3:20:09 PM AST","Male","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older;7-10 years older","Same age to 2 years younger;3 years older to same old;3-6 years older","They must be out of college lol anyone still in undergraduate would be out of consideration. As for older, I'm flexible but aware that older women may very well have life/personal age related milestones that may not match up with my own. "
"2019/07/15 3:21:31 PM AST","Female","Heterosexual","30+","3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older;7-10 years older","3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older","Similar life experiences and places in life (jobs, living situations, probable education) "
"2019/07/15 3:22:16 PM AST","Female","Heterosexual","23-25","Same age to 2 years younger;3 years older to same old;3-6 years older","Same age to 2 years younger;3 years older to same old","Similar interests/childhood culture etc"
"2019/07/15 3:23:56 PM AST","Female","Heterosexual","26-29","Same age to 2 years younger;3 years older to same old;3-6 years older","3 years older to same old","It's much easier to live similar lifestyles when we are closer in age. "
"2019/07/15 3:27:30 PM AST","Male","Heterosexual","23-25","Same age to 2 years younger;3 years older to same old","Same age to 2 years younger;3 years older to same old","older because I like girls who are mature"
"2019/07/15 3:28:32 PM AST","Female","Heterosexual","18-22","Same age to 2 years younger;3 years older to same old","3 years older to same old","Dating someone my age or only 1-3 years older would mean we’d probably have more in common and share similar experiences, which is more comfortable than dating someone way out of your age range."
"2019/07/15 3:30:48 PM AST","Male","Heterosexual","30+","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old","Baby making. Keeping up on travels. Being polished."
"2019/07/15 3:33:24 PM AST","Male","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older","Same age to 2 years younger;3 years older to same old","Prefer closer in age range for similar life experiences and expectations."
"2019/07/15 3:35:05 PM AST","Female","Heterosexual","23-25","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older;7-10 years older;10+ years older","Same age to 2 years younger;3 years older to same old;3-6 years older","Similar maturity, libido, energy level, friend group"
"2019/07/15 3:37:03 PM AST","Female","Heterosexual","26-29","Same age to 2 years younger;3 years older to same old;3-6 years older","3 years older to same old;3-6 years older","Match maturity at older age; comfort/relaxation with people closer to my age"
"2019/07/15 3:38:55 PM AST","Other","Homosexual","26-29","Same age to 2 years younger;3 years older to same old","3 years older to same old","V much prefer the same age bc I want to relate to my partner emotionally and in terms of life experience "
"2019/07/15 3:40:21 PM AST","Male","Heterosexual","18-22","3-6 years older;7-10 years older;10+ years older","10+ years older","Like fine wine women get better with age and wrinkles. Women are like classic antique cars I want to test drive them all."
"2019/07/15 3:41:33 PM AST","Male","Heterosexual","26-29","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older;7-10 years older","3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older","More common grounds between the two from childhood, career development and life choices. "
"2019/07/15 3:42:11 PM AST","Female","Bisexual","30+","10+ years younger;5-10 years younger","10+ years younger","Kittens and puppies are cuter than old dogs and cats."
"2019/07/15 3:44:20 PM AST","Other","Other","26-29","10+ years younger;5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older;7-10 years older;10+ years older","10+ years younger;5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older;7-10 years older;10+ years older","Just want to have my first kiss with anything willing. I’m as you say desperate and ready to mingle."
"2019/07/15 3:44:52 PM AST","Female","Heterosexual","26-29","Same age to 2 years younger;3 years older to same old;3-6 years older","3 years older to same old","If people are closer in age, they're likely going through the same life events.  Plus it's better if the guy is older because MEN mature at a slower rate."
"2019/07/15 3:48:25 PM AST","Female","Bisexual","30+","3-5 years younger;Same age to 2 years younger;3 years older to same old;3-6 years older","Same age to 2 years younger;3 years older to same old","I feel that having experienced certain years at close to the same age as my date would more likely give us more in common to share together and bond over. If that makes sense. lol"
"2019/07/15 3:56:35 PM AST","Female","Heterosexual","23-25","3 years older to same old;3-6 years older;7-10 years older","3-6 years older","I would date 3-6 years older because they are more experienced (if you know what I mean 😏) and have their lives figured out - career = money = house . "
"2019/07/15 4:02:21 PM AST","Male","Heterosexual","30+","5-10 years younger;3-5 years younger","5-10 years younger;3-5 years younger;Same age to 2 years younger","More fun, hopefully mature, family oriented. "
"2019/07/15 4:11:08 PM AST","Female","Heterosexual","23-25","3 years older to same age;3-6 years older","3 years older to same age;3-6 years older","Mature"
"2019/07/15 4:14:53 PM AST","Female","Heterosexual","26-29","5-10 years younger;3-5 years younger;Same age to 2 years younger;3-6 years older;7-10 years older","","Being with someone closer in age, I believe that we can relate more since we've both have similar experiences growing up. I also feel that we are more aligned with our goals and are more on the same page with our needs/wants. However, at the end of the day, age is just a word =P and I honestly have no preference as long as I'm happy"
"2019/07/15 4:38:09 PM AST","Male","Heterosexual","30+","10+ years younger;5-10 years younger;3-5 years younger;Same age to 2 years younger","10+ years younger;5-10 years younger","More attractive"
"2019/07/15 4:42:16 PM AST","Female","Heterosexual","23-25","Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older;10+ years older","3 years older to same age;3-6 years older;7-10 years older","Prefer to date ppl within 10+ years of me cos of generation gap"
"2019/07/15 4:45:23 PM AST","Male","Homosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","Same age to 2 years younger;3 years older to same age","Want someone close to my age; in my experience i have more in common with them vs too young or too old. "
"2019/07/15 4:48:36 PM AST","Male","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same age","Same age to 2 years younger","Want someone at the same stage in life, not  another mom (eew) or someone same age as my students/younger siblings lol"
"2019/07/15 4:54:18 PM AST","Male","Homosexual","30+","10+ years younger","10+ years younger","I enjoy baby kittens."
"2019/07/15 4:54:48 PM AST","Female","Heterosexual","23-25","Same age to 2 years younger;3 years older to same age;3-6 years older","Same age to 2 years younger;3 years older to same age;3-6 years older","There’s some kind of comfort being with someone who’s around the same age because mindsets are typically the same as well as other aspects of growing up in the same time period "
"2019/07/15 5:08:07 PM AST","Female","Heterosexual","26-29","Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older","3-6 years older","Stability"
"2019/07/15 5:14:48 PM AST","Female","Heterosexual","30+","Same age to 2 years younger;3 years older to same age;3-6 years older","3 years older to same age;3-6 years older","Maturity level"
"2019/07/15 5:44:23 PM AST","Male","Heterosexual","23-25","3 years older to same age","3 years older to same age","-"
"2019/07/15 5:45:29 PM AST","Female","Heterosexual","26-29","3 years older to same age;3-6 years older","3 years older to same age;3-6 years older","Same references lol"
"2019/07/15 6:02:58 PM AST","Male","Heterosexual","30+","10+ years younger;3-6 years older","3-5 years younger","Similarities of experience and important events"
"2019/07/15 6:05:17 PM AST","Female","Bisexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older","3-6 years older;7-10 years older","In my experience, older guys are more serious in dating, know themselves more and play less mind games. They are easy to have honest conversations with. Younger guys seem to view women more like objects than a life partner. "
"2019/07/15 6:45:54 PM AST","Female","Heterosexual","26-29","3 years older to same age;3-6 years older","3 years older to same age;3-6 years older","Would meet me at the same maturity level and seriousness about settling down around the same time"
"2019/07/15 7:18:44 PM AST","Female","Heterosexual","23-25","Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older","3 years older to same age","Maturity/relatability "
"2019/07/15 7:20:05 PM AST","Male","Bisexual","30+","3-5 years younger;Same age to 2 years younger;3 years older to same age","3-5 years younger;Same age to 2 years younger;3 years older to same age","Want to date someone with roughly the same life experience/generational experiences/dank meme references as myself."
"2019/07/15 7:30:21 PM AST","Female","Heterosexual","26-29","Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older","Same age to 2 years younger;3 years older to same age","More likely to have common interests, values, and life experiences."
"2019/07/15 7:35:57 PM AST","Other","Other","26-29","5-10 years younger;3-6 years older","3-5 years younger;Same age to 2 years younger;3 years older to same age","Closer range is more relatable. I feel like going younger I can still relate to where they are but past mid-thirties there are different world. "
"2019/07/15 7:58:56 PM AST","Male","Homosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","Same age to 2 years younger;3 years older to same age","I prefer to date someone close to my age because we would share more commonalities."
"2019/07/15 8:16:36 PM AST","Male","Heterosexual","26-29","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age","Same age to 2 years younger","Maturity levels"
"2019/07/15 9:17:40 PM AST","Female","Heterosexual","26-29","Same age to 2 years younger;3 years older to same age;3-6 years older","3 years older to same age","Males are proven to reach maturity at a later time than females. There are exceptions however, and I'm also likely influenced by my culture's traditional view of males ""taking care"" of females-- thus preferring older male partners. "
"2019/07/15 9:39:33 PM AST","Male","Heterosexual","23-25","Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older","Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older","Different experiences from walks of life could be enlightening."
"2019/07/15 10:31:12 PM AST","Female","Heterosexual","23-25","3 years older to same age;3-6 years older","3 years older to same age;3-6 years older","I would rather date someone older than me based on my dating experience. Guys my age or younger seem to not be what I'm looking for in a future spouse. "
"2019/07/15 11:27:48 PM AST","Female","Heterosexual","23-25","3 years older to same age;3-6 years older","3 years older to same age;3-6 years older","3 years older to same age-lots of potential shared experiences (i.e. similar stages in life, so it might be easier to grow together and share/live similar lifestyles). 

3-6 years older: I dated someone two years younger than me, and maybe I’m generalizing, but as a female, I feel like I am more similar/can have better conversations and friendships that could turn into relationships with men who are at least one or two years older than me (six is okay, but anything beyond that is a bit weird, at least speaking from speculation). I would date men my age, but even then, I think I’d be interested in men who despite being the same age as me are more mature emotionally beyond their age. Also, I feel like a grandma/have an old soul, so I could probably date someone six years older than me since I feel six years older than how I really am (actually I feel fifty years older than my actual age most days haha)."
"2019/07/15 11:45:12 PM AST","Female","Heterosexual","18-22","Same age to 2 years younger;3 years older to same age","3 years older to same age","I like someone who is older than me by a few years so we can still have something in common/communicate well "
"2019/07/16 12:16:16 AM AST","Male","Heterosexual","26-29","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older","within 10 years seem reasonable
"
"2019/07/16 12:18:18 AM AST","Female","Heterosexual","26-29","3 years older to same age","3 years older to same age","More relatable to same age. More or less same wants/needs"
"2019/07/16 12:19:54 AM AST","Female","Heterosexual","26-29","3 years older to same age;3-6 years older","3 years older to same age;3-6 years older","Maturity"
"2019/07/16 12:27:01 AM AST","Male","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger","3-5 years younger;Same age to 2 years younger","Due to similar maturity level."
"2019/07/16 12:30:56 AM AST","Male","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger","3-5 years younger;Same age to 2 years younger","To have something in common. To be able to take care of each other as our ages are not far apart."
"2019/07/16 12:41:37 AM AST","Male","Bisexual","26-29","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","Age doesn't matter as much as long as it is close to the same generation "
"2019/07/16 1:09:16 AM AST","Male","Homosexual","26-29","3-6 years older;7-10 years older","3 years older to same age;3-6 years older",":l"
"2019/07/16 1:11:40 AM AST","Male","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","3-5 years younger;Same age to 2 years younger;3 years older to same age","Same mentality and possibly cultural understandings "
"2019/07/16 1:24:54 AM AST","Male","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same age","3-5 years younger;Same age to 2 years younger;3 years older to same age","Ohhh be easier to get along with "
"2019/07/16 1:32:02 AM AST","Male","Heterosexual","30+","10+ years younger;5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age","Similarity"
"2019/07/16 2:07:00 AM AST","Male","Heterosexual","30+","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age","3-5 years younger;Same age to 2 years younger","Same thinking"
"2019/07/16 8:20:41 AM AST","Female","Heterosexual","26-29","3 years older to same age;3-6 years older","3 years older to same age;3-6 years older","Preference "
"2019/07/16 9:39:19 AM AST","Male","Heterosexual","26-29","5-10 years younger","10+ years older","Years of head game experience is a plus"
"2019/07/16 10:57:06 AM AST","Female","Heterosexual","26-29","3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","Same age to 2 years younger;3 years older to same age","Hi Trang it’s trisha HAHAHAHA and the answer is maturity level"
"2019/07/16 12:11:45 PM AST","Male","Heterosexual","30+","Same age to 2 years younger","Same age to 2 years younger","Similar range indicates similar experiences and interests, which are strong indicators for building a successful relationship imo"
"2019/07/16 12:15:11 PM AST","Male","Heterosexual","26-29","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older;10+ years older","3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","Physical attraction and mental compatibility"
"2019/07/16 2:26:03 PM AST","Female","Heterosexual","30+","3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older","3 years older to same age;3-6 years older","More mature and financially stable"
"2019/07/16 3:00:13 PM AST","Female","Heterosexual","30+","3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older;7-10 years older","3 years older to same age","I think older men may be more experienced and mature "
"2019/07/17 12:47:00 AM AST","Male","Heterosexual","26-29","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age","3-5 years younger;Same age to 2 years younger;3 years older to same age","For me these ranges are closer  to my age, which I believe I will have a higher chance to find people with a similar mindset and understanding"
"2019/07/18 3:08:22 AM AST","Male","Heterosexual","30+","10+ years younger;5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age","10+ years younger;5-10 years younger;3-5 years younger;Same age to 2 years younger","I don’t mind younger girls "
"2019/07/18 3:56:56 PM AST","Male","Heterosexual","26-29","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","3-5 years younger;Same age to 2 years younger;3 years older to same age","We have more common topics to chat about I guess?"
"2019/07/19 12:41:24 AM AST","Female","Heterosexual","30+","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","5-10 years younger;3-5 years younger;Same age to 2 years younger;3 years older to same age;3-6 years older","Patience, work responsibly, similar conversation."
